entidad_a,enticve1,rangedad_a,sexostt,sexos1,sexos2
1,01,1,40,37,3
1,01,2,58,49,9
1,01,3,39,33,6
1,01,4,31,24,7
1,01,5,17,14,3
1,01,6,24,17,7
1,01,7,13,12,1
1,01,8,6,6,0
1,01,9,9,6,3
1,01,10,3902,3316,586
1,01,99,,,
2,02,1,2670,2416,254
2,02,2,2820,2537,283
2,02,3,2565,2311,254
2,02,4,2105,1895,210
2,02,5,1654,1473,181
2,02,6,1183,1055,128
2,02,7,706,632,74
2,02,8,421,372,49
2,02,9,383,323,60
2,02,10,4306,3719,587
2,02,99,,,
3,03,1,0,0,0
3,03,2,0,0,0
3,03,3,0,0,0
3,03,4,0,0,0
3,03,5,0,0,0
3,03,6,0,0,0
3,03,7,0,0,0
3,03,8,0,0,0
3,03,9,0,0,0
3,03,10,3059,2616,443
3,03,99,,,
4,04,1,69,60,9
4,04,2,80,76,4
4,04,3,69,63,6
4,04,4,55,50,5
4,04,5,47,41,6
4,04,6,31,27,4
4,04,7,20,16,4
4,04,8,11,9,2
4,04,9,6,5,1
4,04,10,288,255,33
4,04,99,,,
5,05,1,909,836,73
5,05,2,816,745,71
5,05,3,695,646,49
5,05,4,584,547,37
5,05,5,386,367,19
5,05,6,243,221,22
5,05,7,129,124,5
5,05,8,60,52,8
5,05,9,70,63,7
5,05,10,6276,5627,649
5,05,99,,,
6,06,1,NSS,NSS,NSS
6,06,2,NSS,NSS,NSS
6,06,3,NSS,NSS,NSS
6,06,4,NSS,NSS,NSS
6,06,5,NSS,NSS,NSS
6,06,6,NSS,NSS,NSS
6,06,7,NSS,NSS,NSS
6,06,8,NSS,NSS,NSS
6,06,9,NSS,NSS,NSS
6,06,10,NSS,NSS,NSS
6,06,99,,,
7,07,1,365,340,25
7,07,2,279,259,20
7,07,3,269,245,24
7,07,4,260,240,20
7,07,5,198,176,22
7,07,6,142,131,11
7,07,7,122,110,12
7,07,8,65,57,8
7,07,9,76,67,9
7,07,10,754,687,67
7,07,99,,,
8,08,1,1485,1387,98
8,08,2,1347,1231,116
8,08,3,1224,1125,99
8,08,4,943,870,73
8,08,5,717,646,71
8,08,6,526,475,51
8,08,7,328,300,28
8,08,8,211,192,19
8,08,9,225,196,29
8,08,10,12824,11742,1082
8,08,99,,,
9,09,1,1074,905,169
9,09,2,1018,877,141
9,09,3,937,798,139
9,09,4,933,814,119
9,09,5,630,542,88
9,09,6,508,418,90
9,09,7,375,305,70
9,09,8,198,166,32
9,09,9,205,165,40
9,09,10,22782,19580,3202
9,09,99,,,
10,10,1,314,286,28
10,10,2,352,316,36
10,10,3,304,272,32
10,10,4,255,231,24
10,10,5,187,175,12
10,10,6,130,115,15
10,10,7,96,78,18
10,10,8,51,48,3
10,10,9,73,61,12
10,10,10,3057,2560,497
10,10,99,,,
11,11,1,63,56,7
11,11,2,55,48,7
11,11,3,44,36,8
11,11,4,29,24,5
11,11,5,40,35,5
11,11,6,28,23,5
11,11,7,7,6,1
11,11,8,7,6,1
11,11,9,15,13,2
11,11,10,13694,12336,1358
11,11,99,,,
12,12,1,126,113,13
12,12,2,110,101,9
12,12,3,113,94,19
12,12,4,97,84,13
12,12,5,74,62,12
12,12,6,44,41,3
12,12,7,23,19,4
12,12,8,21,19,2
12,12,9,32,26,6
12,12,10,3259,2721,538
12,12,99,52,44,8
13,13,1,433,364,69
13,13,2,484,403,81
13,13,3,470,379,91
13,13,4,435,341,94
13,13,5,358,279,79
13,13,6,252,199,53
13,13,7,177,137,40
13,13,8,88,66,22
13,13,9,170,127,43
13,13,10,2945,2361,584
13,13,99,,,
14,14,1,462,428,34
14,14,2,337,302,35
14,14,3,307,283,24
14,14,4,277,247,30
14,14,5,206,193,13
14,14,6,153,141,12
14,14,7,96,88,8
14,14,8,52,50,2
14,14,9,66,63,3
14,14,10,8019,7055,964
14,14,99,,,
15,15,1,3154,2842,312
15,15,2,2567,2320,247
15,15,3,2051,1846,205
15,15,4,1516,1365,151
15,15,5,1040,935,105
15,15,6,717,617,100
15,15,7,436,374,62
15,15,8,245,203,42
15,15,9,283,251,32
15,15,10,6975,5975,1000
15,15,99,,,
16,16,1,671,605,66
16,16,2,607,529,78
16,16,3,554,472,82
16,16,4,435,381,54
16,16,5,361,317,44
16,16,6,259,224,35
16,16,7,168,139,29
16,16,8,115,94,21
16,16,9,178,154,24
16,16,10,3240,2967,273
16,16,99,,,
17,17,1,362,313,49
17,17,2,304,274,30
17,17,3,232,207,25
17,17,4,159,143,16
17,17,5,123,114,9
17,17,6,82,70,12
17,17,7,63,58,5
17,17,8,26,22,4
17,17,9,58,47,11
17,17,10,1124,961,163
17,17,99,,,
18,18,1,366,305,61
18,18,2,361,328,33
18,18,3,414,370,44
18,18,4,375,337,38
18,18,5,309,282,27
18,18,6,236,212,24
18,18,7,166,142,24
18,18,8,89,80,9
18,18,9,121,109,12
18,18,10,1676,1484,192
18,18,99,,,
19,19,1,3547,3185,362
19,19,2,3006,2700,306
19,19,3,2789,2509,280
19,19,4,2227,1998,229
19,19,5,1573,1389,184
19,19,6,1079,953,126
19,19,7,637,542,95
19,19,8,359,307,52
19,19,9,370,328,42
19,19,10,28,23,5
19,19,99,,,
20,20,1,4,2,2
20,20,2,15,0,15
20,20,3,89,0,89
20,20,4,549,521,28
20,20,5,89,89,0
20,20,6,61,56,5
20,20,7,101,101,0
20,20,8,3,3,0
20,20,9,NSS,NSS,NSS
20,20,10,39,39,0
20,20,99,,,
21,21,1,569,521,48
21,21,2,404,364,40
21,21,3,339,295,44
21,21,4,235,209,26
21,21,5,194,170,24
21,21,6,132,111,21
21,21,7,77,67,10
21,21,8,44,39,5
21,21,9,51,40,11
21,21,10,4478,3790,688
21,21,99,,,
22,22,1,431,391,40
22,22,2,449,415,34
22,22,3,384,355,29
22,22,4,299,278,21
22,22,5,197,179,18
22,22,6,155,139,16
22,22,7,97,87,10
22,22,8,45,39,6
22,22,9,51,46,5
22,22,10,1087,979,108
22,22,99,,,
23,23,1,180,168,12
23,23,2,160,147,13
23,23,3,119,110,9
23,23,4,98,91,7
23,23,5,75,62,13
23,23,6,65,58,7
23,23,7,32,30,2
23,23,8,21,17,4
23,23,9,24,22,2
23,23,10,2469,2167,302
23,23,99,,,
24,24,1,41,37,4
24,24,2,49,46,3
24,24,3,49,46,3
24,24,4,38,35,3
24,24,5,20,17,3
24,24,6,24,18,6
24,24,7,13,12,1
24,24,8,6,5,1
24,24,9,15,14,1
24,24,10,984,901,83
24,24,99,,,
25,25,1,181,169,12
25,25,2,265,241,24
25,25,3,299,259,40
25,25,4,267,236,31
25,25,5,233,209,24
25,25,6,170,158,12
25,25,7,122,106,16
25,25,8,107,91,16
25,25,9,91,85,6
25,25,10,821,730,91
25,25,99,,,
26,26,1,1735,1632,103
26,26,2,1779,1636,143
26,26,3,1646,1518,128
26,26,4,1394,1275,119
26,26,5,1066,977,89
26,26,6,749,698,51
26,26,7,474,416,58
26,26,8,231,210,21
26,26,9,204,169,35
26,26,10,4448,4010,438
26,26,99,,,
27,27,1,153,147,6
27,27,2,143,127,16
27,27,3,147,138,9
27,27,4,129,117,12
27,27,5,136,118,18
27,27,6,95,83,12
27,27,7,68,60,8
27,27,8,33,31,2
27,27,9,56,49,7
27,27,10,5417,4854,563
27,27,99,,,
28,28,1,0,0,0
28,28,2,0,0,0
28,28,3,0,0,0
28,28,4,0,0,0
28,28,5,0,0,0
28,28,6,0,0,0
28,28,7,0,0,0
28,28,8,0,0,0
28,28,9,0,0,0
28,28,10,2368,1963,405
28,28,99,,,
29,29,1,210,196,14
29,29,2,198,174,24
29,29,3,174,155,19
29,29,4,165,148,17
29,29,5,119,102,17
29,29,6,71,64,7
29,29,7,53,43,10
29,29,8,26,18,8
29,29,9,33,21,12
29,29,10,456,373,83
29,29,99,,,
30,30,1,496,434,62
30,30,2,424,367,57
30,30,3,414,372,42
30,30,4,325,271,54
30,30,5,243,204,39
30,30,6,199,173,26
30,30,7,162,143,19
30,30,8,89,79,10
30,30,9,111,91,20
30,30,10,5073,4271,802
30,30,99,,,
31,31,1,151,135,16
31,31,2,169,149,20
31,31,3,161,143,18
31,31,4,147,131,16
31,31,5,95,85,10
31,31,6,79,70,9
31,31,7,62,52,10
31,31,8,44,40,4
31,31,9,62,50,12
31,31,10,410,354,56
31,31,99,,,
32,32,1,416,363,53
32,32,2,472,400,72
32,32,3,461,401,60
32,32,4,407,349,58
32,32,5,326,285,41
32,32,6,292,252,40
32,32,7,199,168,31
32,32,8,109,90,19
32,32,9,184,162,22
32,32,10,1864,1627,237
32,32,99,,,
